"NOMBRE_IMPUESTO","N_RECORDS","DEUDA_TOTAL","PCT_CASES","PCT_VALUE","AVG_DEBT"
"PREDIAL",1328659,7981852202974,29.77,61.5,6007450
"ICA",209074,2920878927475,4.68,22.51,13970551
"VEHICULOS",2645661,1293676650223,59.27,9.97,488981
"RETEICA",271842,398482345700,6.09,3.07,1465860
"DELINEACION",2045,199019201851,0.05,1.53,97319903
"SOBRETASA",74,76311415000,0,0.59,1031235338
"AZAR",515,65996432900,0.01,0.51,128148413
"SIN_CUENTA_CORRIENTE",5797,41539998990,0.13,0.32,7165775
"PUBLICIDAD",106,557665000,0,0,5260991
